entry,at,order
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:12:11.608Z,173438353160800
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:12:10.800Z,173438353080005
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:12:10.800Z,173438353080004
"Player stacks: #1 ""eike @ codPT618if"" (26.30) | #10 ""gtodev @ sVfd-WUsjU"" (13.70)",2024-12-16T21:12:10.800Z,173438353080001
"-- starting hand #165 (id: iojjewelhj7d)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:12:10.800Z,173438353080000
"-- ending hand #164 --",2024-12-16T21:12:04.879Z,173438352487902
"""eike @ codPT618if"" collected 0.20 from pot",2024-12-16T21:12:04.879Z,173438352487901
"Uncalled bet of 0.10 returned to ""eike @ codPT618if""",2024-12-16T21:12:04.879Z,173438352487900
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:12:04.074Z,173438352407400
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:12:02.798Z,173438352279805
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:12:02.798Z,173438352279804
"Player stacks: #1 ""eike @ codPT618if"" (26.20) | #10 ""gtodev @ sVfd-WUsjU"" (13.80)",2024-12-16T21:12:02.798Z,173438352279801
"-- starting hand #164 (id: jxy2dx81q6nn)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:12:02.798Z,173438352279800
"""gtodev @ sVfd-WUsjU"" shows a 4♥.",2024-12-16T21:12:00.163Z,173438352016300
"-- ending hand #163 --",2024-12-16T21:11:59.064Z,173438351906402
"""eike @ codPT618if"" collected 8.80 from pot with Flush, 10c High (combination: 10♣, 6♣, 5♣, 4♣, 2♣)",2024-12-16T21:11:59.064Z,173438351906401
"""eike @ codPT618if"" shows a 6♣, 2♣.",2024-12-16T21:11:59.064Z,173438351906400
"""gtodev @ sVfd-WUsjU"" calls 4.00",2024-12-16T21:11:58.250Z,173438351825000
"""eike @ codPT618if"" raises to 4.00",2024-12-16T21:11:54.362Z,173438351436200
"""gtodev @ sVfd-WUsjU"" bets 2.00",2024-12-16T21:11:51.614Z,173438351161400
"River: 2♠, 10♣, 4♠, 5♣ [4♣]",2024-12-16T21:11:45.855Z,173438350585500
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:11:45.029Z,173438350502900
"""gtodev @ sVfd-WUsjU"" bets 0.20",2024-12-16T21:11:44.046Z,173438350404600
"Turn: 2♠, 10♣, 4♠ [5♣]",2024-12-16T21:11:41.605Z,173438350160500
"""eike @ codPT618if"" checks",2024-12-16T21:11:40.759Z,173438350075900
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:11:39.817Z,173438349981700
"Flop:  [2♠, 10♣, 4♠]",2024-12-16T21:11:35.843Z,173438349584300
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:11:35.029Z,173438349502900
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:11:31.673Z,173438349167300
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:11:30.638Z,173438349063805
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:11:30.638Z,173438349063804
"Player stacks: #1 ""eike @ codPT618if"" (21.80) | #10 ""gtodev @ sVfd-WUsjU"" (18.20)",2024-12-16T21:11:30.638Z,173438349063801
"-- starting hand #163 (id: zqdlusospij8)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:11:30.638Z,173438349063800
"-- ending hand #162 --",2024-12-16T21:11:24.723Z,173438348472302
"""eike @ codPT618if"" collected 0.20 from pot",2024-12-16T21:11:24.723Z,173438348472301
"Uncalled bet of 0.10 returned to ""eike @ codPT618if""",2024-12-16T21:11:24.723Z,173438348472300
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:11:23.885Z,173438348388500
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:11:22.329Z,173438348232905
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:11:22.329Z,173438348232904
"Player stacks: #1 ""eike @ codPT618if"" (21.70) | #10 ""gtodev @ sVfd-WUsjU"" (18.30)",2024-12-16T21:11:22.329Z,173438348232901
"-- starting hand #162 (id: gudgdyyppels)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:11:22.329Z,173438348232900
"""eike @ codPT618if"" shows a K♠, J♠.",2024-12-16T21:11:19.162Z,173438347916200
